key,language_key,name
MK-101,tl,Veles
MK-102,tl,Gradsko
MK-103,tl,Demir Kapija
MK-104,tl,Kavadarci
MK-105,tl,Lozovo
MK-106,tl,Negotino
MK-107,tl,Rosoman
MK-108,tl,Sveti Nikole
MK-109,tl,Caska
MK-201,tl,Berovo
MK-202,tl,Vinica
MK-203,tl,Delcevo
MK-204,tl,Zrnovci
MK-205,tl,Karbinci
MK-206,tl,Kocani
MK-207,tl,Makedonska Kamenica
MK-208,tl,Pehcevo
MK-209,tl,Probistip
MK-210,tl,Cesinovo-Oblesevo
MK-211,tl,Stip
MK-301,tl,Vevcani
MK-303,tl,Debar
MK-304,tl,Debarca
MK-307,tl,Kicevo
MK-308,tl,Makedonski Brod
MK-310,tl,Ohrid
MK-311,tl,Plasnica
MK-312,tl,Struga
MK-313,tl,Centar Zupa
MK-401,tl,Bogdanci
MK-402,tl,Bosilovo
MK-403,tl,Valandovo
MK-404,tl,Vasilevo
MK-405,tl,Gevgelija
MK-406,tl,Opstina Dojran
MK-407,tl,Konce
MK-408,tl,Novo Selo
MK-409,tl,Radovis
MK-410,tl,Strumica
MK-501,tl,Bitola
MK-502,tl,Demir Hisar
MK-503,tl,Dolneni
MK-504,tl,Krivogastani
MK-505,tl,Krusevo
MK-506,tl,Mogila
MK-507,tl,Novaci
MK-508,tl,Prilep
MK-509,tl,Resen
MK-601,tl,Bogovine
MK-602,tl,Brvenica
MK-603,tl,Vrapciste
MK-604,tl,Gostivar
MK-605,tl,Zelino
MK-606,tl,Jegunovce
MK-607,tl,Mavrovo i Rostuse
MK-608,tl,Tearce
MK-609,tl,Tetovo
MK-701,tl,Kratovo
MK-702,tl,Kriva Palanka
MK-703,tl,Kumanovo
MK-704,tl,Opstina Lipkovo
MK-705,tl,Opstina Rankovce
MK-706,tl,Staro Nagoricane
MK-801,tl,Aerodrom †
MK-802,tl,Aracinovo
MK-803,tl,Butel †
MK-804,tl,Gazi Baba †
MK-805,tl,Gjorče Petrov †
MK-806,tl,Zelenikovo
MK-807,tl,Ilinden
MK-808,tl,Karpoš †
MK-809,tl,Kisela Voda †
MK-810,tl,Petrovec
MK-811,tl,Saraj †
MK-812,tl,Sopiste
MK-813,tl,Studenicani
MK-814,tl,Centar †
MK-815,tl,Čair †
MK-816,tl,Cucer-Sandevo
MK-817,tl,Šuto Orizari †
