key,language_key,name
MK-101,tr,Veles
MK-102,tr,Gradsko
MK-103,tr,Demir Kapı
MK-104,tr,Tikveş
MK-105,tr,Cumalı
MK-106,tr,Negotin
MK-107,tr,Rosoman
MK-108,tr,Kiliseli
MK-109,tr,Čaška
MK-201,tr,Berova
MK-202,tr,Viniça
MK-203,tr,Sultaniye
MK-204,tr,Zrnovci
MK-205,tr,Karbinci
MK-206,tr,Koçana
MK-207,tr,Makedonska Kamenica
MK-208,tr,Osmaniye
MK-209,tr,Probiştip
MK-210,tr,Češinovo-Obleševo
MK-211,tr,İştip
MK-301,tr,Vevčani
MK-303,tr,Debre
MK-304,tr,Debarca
MK-307,tr,Kırçova
MK-308,tr,Makedonski Brod
MK-310,tr,Ohri
MK-311,tr,Plasnica
MK-312,tr,Ustruga
MK-313,tr,Centar Župa
MK-401,tr,Boğdancı
MK-402,tr,Bosilovo
MK-403,tr,Valandova
MK-404,tr,Vasilevo
MK-405,tr,Gevgili
MK-406,tr,Doyran
MK-407,tr,Konçe
MK-408,tr,Yeniköy
MK-409,tr,Radovişte
MK-410,tr,Ustrumca
MK-501,tr,Manastır
MK-502,tr,Demir Hisar
MK-503,tr,Dolyan
MK-504,tr,Krivogaštani
MK-505,tr,Kruşova
MK-506,tr,Mogila
MK-507,tr,Novaci
MK-508,tr,Pirlepe
MK-509,tr,Resne
MK-601,tr,Bogovinje
MK-602,tr,Brvenica
MK-603,tr,Vrapčište
MK-604,tr,Gostivar
MK-605,tr,Želino
MK-606,tr,Jegunovce
MK-607,tr,Mavrova
MK-608,tr,Tearce
MK-609,tr,Kalkandelen
MK-701,tr,Kıratova
MK-702,tr,Eğridere
MK-703,tr,Kumanova
MK-704,tr,Lipkovo
MK-705,tr,Rankovce
MK-706,tr,Staro Nagoričane
MK-801,tr,\N
MK-802,tr,Aračinovo
MK-803,tr,Butel †
MK-804,tr,Gazi Baba †
MK-805,tr,Gjorče Petrov †
MK-806,tr,Zelenikovo
MK-807,tr,Ilinden
MK-808,tr,Karpoš †
MK-809,tr,Kisela Voda †
MK-810,tr,Üsküp
MK-811,tr,Saraj †
MK-812,tr,Sopište
MK-813,tr,İstudeniçan
MK-814,tr,Centar †
MK-815,tr,Čair †
MK-816,tr,Čučer-Sandevo
MK-817,tr,Šuto Orizari †
