key,language_key,name
MT-01,bn,আতার্ড
MT-02,bn,বালজান
MT-03,bn,বিরগো
MT-04,bn,বিরকিরকারা
MT-05,bn,বির্জেব্বুগা
MT-06,bn,কসপিকোয়া
MT-07,bn,ডিংলি
MT-08,bn,ফেগুরা
MT-09,bn,ফ্লোরিয়ানা
MT-10,bn,ফন্টানা
MT-11,bn,গোজা
MT-12,bn,জিরা
MT-13,bn,ঘাজনসিলেম
MT-14,bn,ঘার্ব
MT-15,bn,ঘারঘুর
MT-16,bn,ঘার্সি
MT-17,bn,ঘাজাক
MT-18,bn,ফ্লামুন
MT-19,bn,ইক্লিন
MT-20,bn,সেঙ্গলিয়া
MT-21,bn,কালকারা
MT-22,bn,কেরচেম
MT-23,bn,কিরকোপ
MT-24,bn,লিজা
MT-25,bn,লুকা
MT-26,bn,মর্স
MT-27,bn,মারসাস্কালা
MT-28,bn,মারসাশ্লক
MT-29,bn,মদিনা
MT-30,bn,মেল্যিনা
MT-31,bn,ম্যগার
MT-32,bn,মোস্তা
MT-33,bn,মাকাব্বা
MT-34,bn,সিডা
MT-35,bn,এমতারফা
MT-36,bn,মুনক্সার
MT-37,bn,নাদুর
MT-38,bn,নাক্সার
MT-39,bn,পাওলা
MT-40,bn,পেমব্রোক
MT-41,bn,পিএত
MT-42,bn,কালা
MT-43,bn,কর্মী
MT-44,bn,কুরেন্ডি
MT-45,bn,ভিক্টোরিয়া
MT-46,bn,রাবাত
MT-47,bn,সাফি
MT-48,bn,সেন্ট জুলিয়ান
MT-49,bn,সেন্ট জন
MT-50,bn,সেন্ট লরেন্স
MT-51,bn,সেন্ট পল'স বে
MT-52,bn,সাঁন্যাৎ
MT-53,bn,সেন্ট লুসিয়া
MT-54,bn,সেন্ট ভেনেরা
MT-55,bn,সিজ্ঞিবি
MT-56,bn,স্লিয়েমা
MT-57,bn,সুইকি
MT-58,bn,টারক্সিয়েন
MT-59,bn,তা বিএক্স
MT-60,bn,ভ্যালেটা
MT-61,bn,জাঘ্রা
MT-62,bn,জিউকিজা
MT-63,bn,জাঝরা
MT-64,bn,জাব্বার
MT-65,bn,ইজ-জেববাগ
MT-66,bn,জেব্বুগ
MT-67,bn,জেতোন
MT-68,bn,জুরিক
