key,language_key,name
NG-AB,mt,Abia State
NG-AD,mt,Adamawa
NG-AK,mt,Akwa Ibom State
NG-AN,mt,Anambra
NG-BA,mt,Bauchi
NG-BE,mt,Benue State
NG-BO,mt,Borno State
NG-BY,mt,Bayelsa State
NG-CR,mt,Cross River State
NG-DE,mt,Delta
NG-EB,mt,Ebonyi State
NG-ED,mt,Edo State
NG-EK,mt,Ekiti State
NG-EN,mt,Enugu State
NG-FC,mt,FCT
NG-GO,mt,Gombe State
NG-IM,mt,Imo State
NG-JI,mt,Jigawa State
NG-KD,mt,Kaduna State
NG-KE,mt,Kebbi
NG-KN,mt,Kano State
NG-KO,mt,Kogi State
NG-KT,mt,Katsina State
NG-KW,mt,Kwara State
NG-LA,mt,Lagos
NG-NA,mt,Nasarawa State
NG-NI,mt,Niger State
NG-OG,mt,Ogun State
NG-ON,mt,Ondo State
NG-OS,mt,Osun State
NG-OY,mt,Oyo State
NG-PL,mt,Plateau State
NG-RI,mt,Rivers State
NG-SO,mt,Sokoto State
NG-TA,mt,Taraba State
NG-YO,mt,Yobe State
NG-ZA,mt,Zamfara State
