key,language_key,name
PH-00,et,Riigi pealinna piirkond
PH-01,et,Ilocos (I piirkond)
PH-02,et,Cagayani org (II piirkond)
PH-03,et,Kesk-Luzon (III piirkond)
PH-05,et,Bicol (piirkond V)
PH-06,et,Lääne-Visayas (VI piirkond)
PH-07,et,Kesk-Visayas (VII piirkond)
PH-08,et,Ida-Visayas (VIII piirkond)
PH-09,et,Zamboanga poolsaar (IX piirkond)
PH-10,et,Põhja-Mindanao (piirkond X)
PH-11,et,Davao (XI piirkond)
PH-12,et,Soccsksargen (regioon XII)
PH-13,et,Caraga (XIII piirkond)
PH-14,et,Moslemi Mindanao autonoomne piirkond (ARMM)
PH-15,et,Cordillera halduspiirkond (CAR)
PH-40,et,Calabarzon (regioon IV-A)
PH-41,et,Mimaropa (piirkond IV-B)
PH-ABR,et,Ilocos
PH-AGN,et,Cagayani org
PH-AGS,et,Kesk-Luzon
PH-AKL,et,Aklan
PH-ALB,et,Bicoli
PH-ANT,et,Lääne-Visayas
PH-APA,et,Apayao
PH-AUR,et,Aurora
PH-BAN,et,Kesk-Visayas
PH-BAS,et,Basilan
PH-BEN,et,Põhja-Mindanao
PH-BIL,et,Biliran
PH-BOH,et,Davao
PH-BTG,et,Zamboanga poolsaar
PH-BTN,et,Ida-Visayas
PH-BUK,et,Soccsksargen
PH-BUL,et,Caraga
PH-CAG,et,Moslemi Mindanao autonoomne piirkond
PH-CAM,et,Camiguin
PH-CAN,et,Cordillera halduspiirkond
PH-CAP,et,Capiz
PH-CAS,et,Camarines Sur
PH-CAT,et,Catanduanes
PH-CAV,et,Cavite
PH-CEB,et,Cebu
PH-COM,et,Davao de Oro
PH-DAO,et,Davao Oriental
PH-DAS,et,Davao del Sur
PH-DAV,et,Davao del Norte
PH-DIN,et,Dinagati saared
PH-DVO,et,Davao Occidental
PH-EAS,et,Ida-Samar
PH-GUI,et,Guimaras
PH-IFU,et,Ifugao
PH-ILI,et,Iloilo
PH-ILN,et,Ilocos Norte
PH-ILS,et,Ilocos Sur
PH-ISA,et,Isabela
PH-KAL,et,Kalinga
PH-LAG,et,Laguna
PH-LAN,et,Lanao del Norte
PH-LAS,et,Lanao del Sur
PH-LEY,et,Leyte
PH-LUN,et,La Union
PH-MAD,et,Marinduque
PH-MAS,et,Masbate
PH-MDC,et,Calabarzon
PH-MDR,et,Mimaropa
PH-MGN,et,Maguindanao del Norte
PH-MGS,et,Maguindanao del Sur
PH-MOU,et,Mägiprovints
PH-MSC,et,Misamis Occidental
PH-MSR,et,Misamis Oriental
PH-NCO,et,Cotabato
PH-NEC,et,Negros Occidental
PH-NER,et,Negros Oriental
PH-NSA,et,Põhja-Samar
PH-NUE,et,Nueva Écija
PH-NUV,et,Nueva Vizcaya
PH-PAM,et,Pampanga
PH-PAN,et,Pangasinan
PH-PLW,et,Palawan
PH-QUE,et,Quezon
PH-QUI,et,Quirino
PH-RIZ,et,Rizal
PH-ROM,et,Romblon
PH-SAR,et,Sarangani
PH-SCO,et,Lõuna-Cotabato
PH-SIG,et,Siquijor
PH-SLE,et,Lõuna-Leyte
PH-SLU,et,Sulu
PH-SOR,et,Sorsogon
PH-SUK,et,Sultan Kudarat
PH-SUN,et,Surigao del Norte
PH-SUR,et,Surigao del Sur
PH-TAR,et,Tarlac
PH-TAW,et,Tawi-Tawi
PH-WSA,et,Samar
PH-ZAN,et,Zamboanga del Norte
PH-ZAS,et,Zamboanga del Sur
PH-ZMB,et,Zambales
PH-ZSI,et,Zamboanga Sibugay
