key,language_key,name
PH-00,tk,Milli paýtagt sebiti
PH-01,tk,Ilokos (I sebit)
PH-02,tk,Kagaýan jülgesi (Sebit II)
PH-03,tk,Merkezi Luzon (Sebit III)
PH-05,tk,Bikol (V sebit)
PH-06,tk,Günbatar Wizaýalar (Sebit VI)
PH-07,tk,Merkezi wizalar (sebit VII)
PH-08,tk,Gündogar Wizaýalar (VIII sebit)
PH-09,tk,Zamboanga ýarym adasy (IX sebit)
PH-10,tk,Demirgazyk Mindanao (Sebit X)
PH-11,tk,Dawao (XI sebit)
PH-12,tk,Soccsksargen (XII sebit)
PH-13,tk,Caraga (XIII sebit)
PH-14,tk,Musulman Mindanaoda awtonom sebit (ARMM)
PH-15,tk,Kordillera administratiw sebiti (CAR)
PH-40,tk,Calabarzon (Sebit IV-A)
PH-41,tk,Mimaropa (Sebit IV-B)
PH-ABR,tk,Ilocos
PH-AGN,tk,Cagayan jülgesi
PH-AGS,tk,Merkezi Luzon
PH-AKL,tk,Aklan
PH-ALB,tk,Bikol
PH-ANT,tk,Günbatar Wizaýalar
PH-APA,tk,Apayao
PH-AUR,tk,Aurora
PH-BAN,tk,Merkezi wizalar
PH-BAS,tk,Basilan
PH-BEN,tk,Demirgazyk Mindanao
PH-BIL,tk,Biliran
PH-BOH,tk,Dawao
PH-BTG,tk,Zamboanga ýarym adasy
PH-BTN,tk,Gündogar Wizaýalar
PH-BUK,tk,Soccsksargen
PH-BUL,tk,Caraga
PH-CAG,tk,Musulman Mindanaoda awtonom sebit
PH-CAM,tk,Kamiguin
PH-CAN,tk,Kordillera dolandyryş sebiti
PH-CAP,tk,Capiz
PH-CAS,tk,Kamarines Sur
PH-CAT,tk,Katanduanes
PH-CAV,tk,Kawit
PH-CEB,tk,Sebu
PH-COM,tk,Davao de Oro
PH-DAO,tk,Dawao Oriental
PH-DAS,tk,Dawao del Sur
PH-DAV,tk,Dawao del Norte
PH-DIN,tk,Dinagat adalary
PH-DVO,tk,\N
PH-EAS,tk,Gündogar Samar
PH-GUI,tk,Guimaras
PH-IFU,tk,Ifugao
PH-ILI,tk,Iloilo
PH-ILN,tk,Ilocos Norte
PH-ILS,tk,Ilocos Sur
PH-ISA,tk,Isabela
PH-KAL,tk,Kalinga
PH-LAG,tk,Laguna
PH-LAN,tk,Lanao del Norte
PH-LAS,tk,Lanao del Sur
PH-LEY,tk,Leýte
PH-LUN,tk,La Union
PH-MAD,tk,Marinduque
PH-MAS,tk,Masbate
PH-MDC,tk,Kalabarzon
PH-MDR,tk,Mimaropa
PH-MGN,tk,Maguindanao del Norte
PH-MGS,tk,Maguindanao del Sur
PH-MOU,tk,Dag welaýaty
PH-MSC,tk,\N
PH-MSR,tk,Misamis Oriental
PH-NCO,tk,Kotabato
PH-NEC,tk,Negros Occidental
PH-NER,tk,Negros Oriental
PH-NSA,tk,Demirgazyk Samar
PH-NUE,tk,Nueva Ecija
PH-NUV,tk,Nueva Vizkaýa
PH-PAM,tk,Pampanga
PH-PAN,tk,Pangasinan
PH-PLW,tk,Palawan
PH-QUE,tk,Quezon
PH-QUI,tk,Quirino
PH-RIZ,tk,Rizal
PH-ROM,tk,Romblon
PH-SAR,tk,Sarangani
PH-SCO,tk,Günorta Kotabato
PH-SIG,tk,Siquijor
PH-SLE,tk,Günorta Leýte
PH-SLU,tk,Sulu
PH-SOR,tk,Sorsogon
PH-SUK,tk,Soltan Kudarat
PH-SUN,tk,Surigao del Norte
PH-SUR,tk,Surigao del Sur
PH-TAR,tk,Tarlac
PH-TAW,tk,Tawi-Tawi
PH-WSA,tk,Samar
PH-ZAN,tk,Zamboanga del Norte
PH-ZAS,tk,Zamboanga del Sur
PH-ZMB,tk,Zambales
PH-ZSI,tk,Zamboanga Sibugay
