key,language_key,name
PL-02,ne,तल्लो सिलेसियन भोइभोडशिप
PL-04,ne,कुयाभिया-पोमेरेनियन वोइभोडेसीप
PL-06,ne,लुब्लिन भोइभोडेशिप
PL-08,ne,लुबुश वोइभोडेसिप
PL-10,ne,लोड्ज वोइभोडेसिप
PL-12,ne,लेस्सेर पोल्याण्ड वोइवोदेशिप
PL-14,ne,मसोवियन वोइवोदेशिप
PL-16,ne,ओपोले वोइभोडेसिप
PL-18,ne,पोडकार्पटेकी वोइभोडेसिप
PL-20,ne,पोडलास्की वोइभोडेसिप
PL-22,ne,पोमेरेनियन वियोवडा
PL-24,ne,सिलेसियन भोइभोडशिप
PL-26,ne,स्विटोक्र्जिस्की वोइभोडेसीप
PL-28,ne,वारमियन-माजुरीयन वोइभोडेसीप
PL-30,ne,ग्रेटर पोल्याण्ड भोइभोडशिप
PL-32,ne,पश्चिम पोमेरेनियन भोइवोडेशिप
