key,language_key,name
RO-AB,ca,Província d'Alba
RO-AG,ca,Província d'Argeș
RO-AR,ca,Província d'Arad
RO-B,ca,Bucuresti
RO-BC,ca,Província de Bacău
RO-BH,ca,Província de Bihor
RO-BN,ca,Província de Bistrița-Năsăud
RO-BR,ca,Província de Brăila
RO-BT,ca,Província de Botoșani
RO-BV,ca,Província de Brașov
RO-BZ,ca,Província de Buzău
RO-CJ,ca,Província de Cluj
RO-CL,ca,Província de Călărași
RO-CS,ca,Província de Caraș-Severin
RO-CT,ca,Província de Constanța
RO-CV,ca,Província de Covasna
RO-DB,ca,Província de Dâmbovița
RO-DJ,ca,Província de Dolj
RO-GJ,ca,Província de Gorj
RO-GL,ca,Província de Galați
RO-GR,ca,Província de Giurgiu
RO-HD,ca,Província de Hunedoara
RO-HR,ca,Província de Harghita
RO-IF,ca,Província d'Ilfov
RO-IL,ca,Província de Ialomița
RO-IS,ca,Província de Iași
RO-MH,ca,Província de Mehedinți
RO-MM,ca,Província de Maramureș
RO-MS,ca,Província de Mureș
RO-NT,ca,Província de Neamț
RO-OT,ca,Província d'Olt
RO-PH,ca,Província de Prahova
RO-SB,ca,Província de Sibiu
RO-SJ,ca,Província de Sălaj
RO-SM,ca,Província de Satu Mare
RO-SV,ca,Província de Suceava
RO-TL,ca,Província de Tulcea
RO-TM,ca,Província de Timiș
RO-TR,ca,Província de Teleorman
RO-VL,ca,Província de Vâlcea
RO-VN,ca,Província de Vrancea
RO-VS,ca,Província de Vaslui
