key,language_key,name
RO-AB,so,Alba County
RO-AG,so,Arges
RO-AR,so,Arad County
RO-B,so,Bucharest
RO-BC,so,Bacau County
RO-BH,so,Bihor County
RO-BN,so,Bistrita-Nasaud County
RO-BR,so,Braila County
RO-BT,so,Botosani County
RO-BV,so,Brasov County
RO-BZ,so,Buzau County
RO-CJ,so,Cluj County
RO-CL,so,Calarasi County
RO-CS,so,Caras-Severin County
RO-CT,so,Constanta County
RO-CV,so,Kovasna County
RO-DB,so,Dambovita County
RO-DJ,so,Dolj County
RO-GJ,so,Gorj County
RO-GL,so,Galati County
RO-GR,so,Giurgiu County
RO-HD,so,Hunedoara County
RO-HR,so,Harghita County
RO-IF,so,Ilfov
RO-IL,so,Ialomita County
RO-IS,so,Iasi County
RO-MH,so,Mehedinti County
RO-MM,so,Maramures
RO-MS,so,Mures County
RO-NT,so,Neamt County
RO-OT,so,Olt County
RO-PH,so,Prahova
RO-SB,so,Sibiu County
RO-SJ,so,Salaj County
RO-SM,so,Satu Mare County
RO-SV,so,Suceava
RO-TL,so,Tulcea County
RO-TM,so,Timis County
RO-TR,so,Teleorman County
RO-VL,so,Valcea County
RO-VN,so,Vrancea
RO-VS,so,Vaslui County
