key,language_key,name
RS-00,fo,Beograd
RS-01,fo,\N
RS-02,fo,Sredjebanatski okrug
RS-03,fo,Severnobanatski landslut
RS-04,fo,Južnobanatski landslut
RS-05,fo,\N
RS-06,fo,Južnobački-landsluturin
RS-07,fo,Sremski landslutin
RS-08,fo,Mačvanski-landsluturin
RS-09,fo,\N
RS-10,fo,Podúnavski landslut
RS-11,fo,Braničevska amt
RS-12,fo,Šumadijski-landsluturin
RS-13,fo,\N
RS-14,fo,Borski landslut
RS-15,fo,\N
RS-16,fo,Zlatiborski landslut
RS-17,fo,\N
RS-18,fo,\N
RS-19,fo,\N
RS-20,fo,\N
RS-21,fo,Toplički landslut
RS-22,fo,Pirotski-landsluturin
RS-23,fo,Jablanički-landsluturin
RS-24,fo,\N
RS-25,fo,\N
RS-26,fo,\N
RS-27,fo,\N
RS-28,fo,Kosovsko-Mitrovačka-landsluturin
RS-29,fo,\N
RS-KM,fo,Kósóvo-Metohija
RS-VO,fo,Vojvodina
