key,language_key,name
SC-01,rw,Anse-aux-Pins
SC-02,rw,Anse Boileau
SC-03,rw,Anse Etoile
SC-04,rw,Au Cap
SC-05,rw,Anse Royale
SC-06,rw,Baie Lazare
SC-07,rw,Baie Sainte Anne
SC-08,rw,Beau Vallon
SC-09,rw,Bel Air
SC-10,rw,Bel Ombre
SC-11,rw,Cascade
SC-12,rw,Glacis
SC-13,rw,Grand'Anse Mahe
SC-14,rw,Grand'Anse Praslin
SC-15,rw,La Digue and Inner Islands
SC-16,rw,La Riviere Anglaise
SC-17,rw,Mont Buxton
SC-18,rw,Mont Fleuri
SC-19,rw,Plaisance
SC-20,rw,Pointe La Rue
SC-21,rw,Port Glaud
SC-22,rw,Saint Louis
SC-23,rw,Takamaka
SC-24,rw,Les Mamelles
SC-25,rw,Roche Caiman
SC-26,rw,\N
SC-27,rw,\N
