key,language_key,name
SE-AB,bn,স্টকহোম
SE-AC,bn,ভ্যাস্টারবটেন বিভাগ
SE-BD,bn,নরব্রোটন কাউন্টি
SE-C,bn,আপসালা কাউন্টি
SE-D,bn,সোডারম্যানল্যান্ড কাউন্টি
SE-E,bn,ওঁস্টারগটল্যান্ড কাউন্টি
SE-F,bn,জঙ্কোপিং কাউন্টি
SE-G,bn,ক্যারিনো ক্রোনোবার্গ কাউন্টি
SE-H,bn,কাল্মার কাউন্টি
SE-I,bn,গটল্যান্ড কাউন্টি
SE-K,bn,ব্লেকিঞ্জে কাউন্টি
SE-M,bn,স্কান কাউন্টি
SE-N,bn,হল্যান্ড কাউন্টি
SE-O,bn,ভঁসট্রা গোঁটাল্যান্ড কাউন্টি
SE-S,bn,ভার্মাল্যান্ড কাউন্টি
SE-T,bn,ওঁরেব্রো কাউন্টি
SE-U,bn,ভ্যাস্টম্যানল্যান্ড কাউন্টি
SE-W,bn,দালার্না কাউন্টি
SE-X,bn,গ্যাভ্লেবার্গ কাউন্টি
SE-Y,bn,ভ্যাস্টারনরল্যান্ড কাউন্টি
SE-Z,bn,জামটল্যান্ড কাউন্টি
