key,language_key,name
TD-BA,ny,Batha Region
TD-BG,ny,Barh-El-Gazel
TD-BO,ny,Chigawo cha Borkou
TD-CB,ny,Chigawo cha Chari-Baguirmi
TD-EE,ny,Ennedi-Est
TD-EO,ny,Ennedi-Ouest
TD-GR,ny,Chigawo cha Guera
TD-HL,ny,Hadjer-Lamis
TD-KA,ny,Kanem Region
TD-LC,ny,\N
TD-LO,ny,Chigawo cha Logone Occidental
TD-LR,ny,Logone Oriental Region
TD-MA,ny,Mandoul
TD-MC,ny,Moyen-Chari Region
TD-ME,ny,Mayo-Kebbi Est
TD-MO,ny,Mayo-Kebbi West Region
TD-ND,ny,N'Djamena
TD-OD,ny,Chigawo cha Ouaddai
TD-SA,ny,Chigawo cha Salamat
TD-SI,ny,Sila
TD-TA,ny,Tandjile Region
TD-TI,ny,Chigawo cha Tibesti
TD-WF,ny,Chigawo cha Wadi Fira
