key,language_key,name
TR-01,fi,Adanan maakunta
TR-02,fi,Adıyamanin maakunta
TR-03,fi,Afyonkarahisarin maakunta
TR-04,fi,Ağrın maakunta
TR-05,fi,Amasyan maakunta
TR-06,fi,Ankaran maakunta
TR-07,fi,Antalyan maakunta
TR-08,fi,Artvinin maakunta
TR-09,fi,Aydınin maakunta
TR-10,fi,Balıkesirin maakunta
TR-11,fi,Bilecikin maakunta
TR-12,fi,Bingölin maakunta
TR-13,fi,Bitlisin maakunta
TR-14,fi,Bolun maakunta
TR-15,fi,Burdurin maakunta
TR-16,fi,Bursan maakunta
TR-17,fi,Çanakkalen maakunta
TR-18,fi,Çankırın maakunta
TR-19,fi,Çorumin maakunta
TR-20,fi,Denizlin maakunta
TR-21,fi,Diyarbakırin maakunta
TR-22,fi,Edirnen maakunta
TR-23,fi,Elazığin maakunta
TR-24,fi,Erzincanin maakunta
TR-25,fi,Erzurumin maakunta
TR-26,fi,Eskişehirin maakunta
TR-27,fi,Gaziantepin maakunta
TR-28,fi,Giresunin maakunta
TR-29,fi,Gümüşhanen maakunta
TR-30,fi,Hakkarin maakunta
TR-31,fi,Hatayn maakunta
TR-32,fi,Ispartan maakunta
TR-33,fi,Mersinin maakunta
TR-34,fi,İstanbulin maakunta
TR-35,fi,İzmirin maakunta
TR-36,fi,Karsin maakunta
TR-37,fi,Kastamonun maakunta
TR-38,fi,Kayserin maakunta
TR-39,fi,Kırklarelin maakunta
TR-40,fi,Kırşehirin maakunta
TR-41,fi,Kocaelin maakunta
TR-42,fi,Konyan maakunta
TR-43,fi,Kütahyan maakunta
TR-44,fi,Malatyan maakunta
TR-45,fi,Manisan maakunta
TR-46,fi,Kahramanmaraşin maakunta
TR-47,fi,Mardinin maakunta
TR-48,fi,Muğlan maakunta
TR-49,fi,Muşin maakunta
TR-50,fi,Nevşehirin maakunta
TR-51,fi,Niğden maakunta
TR-52,fi,Ordun maakunta
TR-53,fi,Rizen maakunta
TR-54,fi,Sakaryan maakunta
TR-55,fi,Samsunin maakunta
TR-56,fi,Siirtin maakunta
TR-57,fi,Sinopin maakunta
TR-58,fi,Sivasin maakunta
TR-59,fi,Tekirdağin maakunta
TR-60,fi,Tokatin maakunta
TR-61,fi,Trabzonin maakunta
TR-62,fi,Tuncelin maakunta
TR-63,fi,Şanlıurfan maakunta
TR-64,fi,Uşakin maakunta
TR-65,fi,Vanin maakunta
TR-66,fi,Yozgatin maakunta
TR-67,fi,Zonguldakin maakunta
TR-68,fi,Aksarayn maakunta
TR-69,fi,Bayburtin maakunta
TR-70,fi,Karamanin maakunta
TR-71,fi,Kırıkkalen maakunta
TR-72,fi,Batmanin maakunta
TR-73,fi,Şırnakin maakunta
TR-74,fi,Bartınin maakunta
TR-75,fi,Ardahanin maakunta
TR-76,fi,Iğdırin maakunta
TR-77,fi,Yalovan maakunta
TR-78,fi,Karabükin maakunta
TR-79,fi,Kilisin maakunta
TR-80,fi,Osmaniyen maakunta
TR-81,fi,Düzcen maakunta
