key,language_key,name
TR-01,so,Adana
TR-02,so,Adiyaman Province
TR-03,so,Afyonkarahisar Province
TR-04,so,Agri
TR-05,so,Amasya
TR-06,so,Ankara
TR-07,so,Antalya
TR-08,so,Artvin
TR-09,so,Aydin
TR-10,so,Balikesir
TR-11,so,Bilecik
TR-12,so,Bingoel
TR-13,so,Bitlis
TR-14,so,Bolu
TR-15,so,Burdur
TR-16,so,Bursa Province
TR-17,so,Canakkale
TR-18,so,Cankiri
TR-19,so,Corum
TR-20,so,Denizli
TR-21,so,Diyarbakir Province
TR-22,so,Edirne
TR-23,so,Elazig
TR-24,so,Erzincan
TR-25,so,Erzurum
TR-26,so,Eskisehir
TR-27,so,Gaziantep
TR-28,so,Giresun
TR-29,so,Guemueshane Province
TR-30,so,Hakkari
TR-31,so,Hatay
TR-32,so,Isparta
TR-33,so,Mersin
TR-34,so,Istanbul
TR-35,so,Izmir Province
TR-36,so,Kars Province
TR-37,so,Kastamonu
TR-38,so,Kayseri
TR-39,so,Kirklareli
TR-40,so,Kirsehir
TR-41,so,Kocaeli
TR-42,so,Konya
TR-43,so,Kuetahya
TR-44,so,Malatya
TR-45,so,Manisa
TR-46,so,Kahramanmaras
TR-47,so,Mardin
TR-48,so,Mugla
TR-49,so,Mus
TR-50,so,Nevsehir Province
TR-51,so,Nigde Province
TR-52,so,Ordu
TR-53,so,Rize Province
TR-54,so,Sakarya
TR-55,so,Samsun
TR-56,so,Siirt
TR-57,so,Sinop
TR-58,so,Sivas
TR-59,so,Tekirdag
TR-60,so,Tokat Province
TR-61,so,Trabzon
TR-62,so,Tunceli
TR-63,so,Sanliurfa
TR-64,so,Usak
TR-65,so,Van
TR-66,so,Yozgat
TR-67,so,Zonguldak Province
TR-68,so,Aksaray
TR-69,so,Bayburt Province
TR-70,so,Karaman
TR-71,so,Kirikkale
TR-72,so,Batman
TR-73,so,Sirnak
TR-74,so,Bartin
TR-75,so,Ardahan
TR-76,so,Igdir
TR-77,so,Yalova
TR-78,so,Karabuek Province
TR-79,so,Kilis
TR-80,so,Osmaniye
TR-81,so,Duzce
