key,language_key,name
UG-101,el,Καλαγγάλα
UG-102,el,Καμπάλα
UG-103,el,Κιβογα
UG-104,el,Λουβέρο
UG-105,el,Μασάκα
UG-106,el,Μπιγκί
UG-107,el,Μουμπέντε
UG-108,el,Μουκόνο
UG-109,el,Νακασόνγόλα
UG-110,el,Ρακάι
UG-111,el,Σέμπαμπουλε
UG-112,el,Καγιούνγκα
UG-113,el,Βακίσω
UG-114,el,Λυαντόνδε
UG-115,el,Μιτυανά
UG-116,el,Νακασέκε
UG-117,el,Μπουϊκουέ
UG-118,el,Μπουκομανσίμπι
UG-119,el,Μπουταμπάλα
UG-120,el,Μπουβουμά
UG-121,el,Γόμβα
UG-122,el,Καλούνγκου
UG-123,el,Κυανκώάνζι
UG-124,el,Λώενγο
UG-125,el,Κυοτερα
UG-126,el,Κασάνδα
UG-201,el,Μπουγκίρι
UG-202,el,Μπούσια
UG-203,el,Ήγαγα
UG-204,el,Τζίντζα
UG-205,el,Καμούλι
UG-206,el,Κάπχόρβα
UG-207,el,Κατάκουι
UG-208,el,Κούμι
UG-209,el,Ο Μπάλε
UG-210,el,Παλλίσα
UG-211,el,Σορότι
UG-212,el,Τορόρο
UG-213,el,Καβεραμαϊδώ
UG-214,el,Μαγιούτζ
UG-215,el,Σιρόνκο
UG-216,el,Αμούρια
UG-217,el,Μπουντάκα
UG-218,el,Μπουδούδα
UG-219,el,Βυκεδεα
UG-220,el,Μπουκουό
UG-221,el,Μπουταλέγια
UG-222,el,Καλίρο
UG-223,el,Μαναφωα
UG-224,el,Ναμουτούμπα
UG-225,el,Μπουλαμπούλι
UG-226,el,Μπουγιέντε
UG-227,el,Κιμπούκου
UG-228,el,Κωηεν
UG-229,el,Λούκα
UG-230,el,Ναμαγιίνγκο
UG-231,el,Νγκόρα
UG-232,el,Σερέρε
UG-233,el,Μπουτέμπο
UG-234,el,Νάμισιντώα
UG-235,el,Μπουγκουέρι
UG-236,el,Καπελεβίωνγ
UG-237,el,Καλάκι
UG-301,el,Αντζουμάνι
UG-302,el,Απασ
UG-303,el,Αρούα
UG-304,el,Γκουλού
UG-305,el,Κίτγκουμ
UG-306,el,Κοτίδο
UG-307,el,Λίρα
UG-308,el,Μορότο
UG-309,el,Μόγιο
UG-310,el,Νέββί
UG-311,el,Νακαπιριπίριτ
UG-312,el,Πάντερ
UG-313,el,Υυμβε
UG-314,el,Αμπίμ
UG-315,el,Αμολατάρ
UG-316,el,Αμούρου
UG-317,el,Δοκολο
UG-318,el,Κάαβονγ
UG-319,el,Κωβοκο
UG-320,el,Μαραχα
UG-321,el,Ογιάμ
UG-322,el,Αγάγο
UG-323,el,Άλεμπτονγκ
UG-324,el,Αμουδάτ
UG-325,el,Κόλε
UG-326,el,Λαμβο
UG-327,el,Ναπάκ
UG-328,el,Νουόγια
UG-329,el,Οτούκε
UG-330,el,Ζόμπο
UG-331,el,Ομόρο
UG-332,el,Πακουάτς
UG-333,el,Κουάνια
UG-334,el,Ναμπιλάτουκ
UG-335,el,Καρέγγα
UG-336,el,Μάτι-Οκολλο
UG-337,el,Ομπόνγκι
UG-401,el,Μπουντιμπουγκγιό
UG-402,el,Μπουσένι
UG-403,el,Χόιμα
UG-404,el,Καμπάλε
UG-405,el,Καβαρολε
UG-406,el,Κασέσε
UG-407,el,Κιβααλη
UG-408,el,Κισορό
UG-409,el,Μασίντι
UG-410,el,Μπαράρα
UG-411,el,Ντόγαμο
UG-412,el,Ρουκουνγκίρι
UG-413,el,Καμβενγε
UG-414,el,Κανούνγκου
UG-415,el,Κιεντζότζο
UG-416,el,Μπουλίσα
UG-417,el,Ιβανδα
UG-418,el,Ισιγγίρο
UG-419,el,Κιρουχούρα
UG-420,el,Μπουχουέτζου
UG-421,el,Κυριαντονγο
UG-422,el,Κυεγεγώα
UG-423,el,Μιτοομα
UG-424,el,Ντορόκο
UG-425,el,Ρουμπιρίζι
UG-426,el,Σχεεμα
UG-427,el,Καγάδι
UG-428,el,Κακουμίρο
UG-429,el,Ρουμπάντα
UG-430,el,Μπουνγιάγκαμπου
UG-431,el,Ρουκίγκα
UG-432,el,Κικούβε
UG-433,el,Κάζο
UG-434,el,Κιταγώέντα
UG-435,el,Ρωαμπάρα
UG-C,el,Κεντρική Ουγκάντα
UG-E,el,Ανατολική Ουγκάντα
UG-N,el,Βόρεια Ουγκάντα
UG-W,el,Δυτική Ουγκάντα
