key,language_key,name
US-AK,mh,Alaska
US-AL,mh,Alabama
US-AR,mh,Arkansas
US-AS,mh,American Samoa
US-AZ,mh,Arizona
US-CA,mh,California
US-CO,mh,Colorado
US-CT,mh,Connecticut
US-DC,mh,District of Columbia
US-DE,mh,Delaware
US-FL,mh,Florida
US-GA,mh,Georgia
US-GU,mh,Guam
US-HI,mh,Hawaii
US-IA,mh,Iowa
US-ID,mh,Idaho
US-IL,mh,Illinois
US-IN,mh,Indiana
US-KS,mh,Kansas
US-KY,mh,Kentucky
US-LA,mh,Louisiana
US-MA,mh,Massachusetts
US-MD,mh,Maryland
US-ME,mh,Maine
US-MI,mh,Michigan
US-MN,mh,Minnesota
US-MO,mh,Missouri
US-MP,mh,Northern Mariana Islands
US-MS,mh,Mississippi
US-MT,mh,Montana
US-NC,mh,North Carolina
US-ND,mh,North Dakota
US-NE,mh,Nebraska
US-NH,mh,New Hampshire
US-NJ,mh,New Jersey
US-NM,mh,New Mexico
US-NV,mh,Nevada
US-NY,mh,New York
US-OH,mh,Ohio
US-OK,mh,Oklahoma
US-OR,mh,Oregon
US-PA,mh,Pennsylvania
US-PR,mh,Puerto Rico
US-RI,mh,Rhode Island
US-SC,mh,South Carolina
US-SD,mh,South Dakota
US-TN,mh,Tennessee
US-TX,mh,Texas
US-UM,mh,\N
US-UT,mh,Utah
US-VA,mh,Virginia
US-VI,mh,"Virgin Islands, U.S."
US-VT,mh,Vermont
US-WA,mh,Washington
US-WI,mh,Wisconsin
US-WV,mh,West Virginia
US-WY,mh,Wyoming
