key,language_key,name
UY-AR,rw,Departamento de Artigas
UY-CA,rw,Departamento de Canelones
UY-CL,rw,Cerro Largo
UY-CO,rw,Departamento de Colonia
UY-DU,rw,Departamento de Durazno
UY-FD,rw,Departamento de Florida
UY-FS,rw,Departamento de Flores
UY-LA,rw,Departamento de Lavalleja
UY-MA,rw,Departamento de Maldonado
UY-MO,rw,Departamento de Montevideo
UY-PA,rw,Departamento de Paysandu
UY-RN,rw,Departamento de Rio Negro
UY-RO,rw,Departamento de Rocha
UY-RV,rw,Departamento de Rivera
UY-SA,rw,Departamento de Salto
UY-SJ,rw,Departamento de San Jose
UY-SO,rw,Departamento de Soriano
UY-TA,rw,Departamento de Tacuarembo
UY-TT,rw,Departamento de Treinta y Tres
