key,language_key,name
VN-01,nl,Lai Châu
VN-02,nl,Lào Cai
VN-03,nl,Hà Giang
VN-04,nl,Cao Bằng
VN-05,nl,Sơn La
VN-06,nl,Yên Bái
VN-07,nl,Tuyên Quang
VN-09,nl,Lạng Sơn
VN-13,nl,Quảng Ninh
VN-14,nl,Hòa Bình
VN-18,nl,Ninh Bình
VN-20,nl,Thái Bình
VN-21,nl,Thanh Hóa
VN-22,nl,Nghệ An
VN-23,nl,Gia Lai
VN-24,nl,Quảng Bình
VN-25,nl,Quảng Trị
VN-26,nl,Dak Lak
VN-27,nl,Quảng Nam
VN-28,nl,Kon Tum
VN-29,nl,Quảng Ngãi
VN-30,nl,Gia Lai
VN-31,nl,Bình Định
VN-32,nl,Phú Yên
VN-33,nl,Đắk Lắk
VN-34,nl,Khánh Hòa
VN-35,nl,Lâm Đồng
VN-36,nl,Ninh Thuận
VN-37,nl,Tây Ninh
VN-39,nl,Đồng Nai
VN-40,nl,Bình Thuận
VN-41,nl,Long An
VN-43,nl,Bà Rịa-Vũng Tàu
VN-44,nl,An Giang
VN-45,nl,Đồng Tháp
VN-46,nl,Tiền Giang
VN-47,nl,Kiên Giang
VN-49,nl,Vĩnh Long
VN-50,nl,Bến Tre
VN-51,nl,Trà Vinh
VN-52,nl,Sóc Trăng
VN-53,nl,Bắc Kạn
VN-54,nl,Bắc Giang
VN-55,nl,Bạc Liêu
VN-56,nl,Bắc Ninh
VN-57,nl,Bình Dương
VN-58,nl,Bình Phước
VN-59,nl,Cà Mau
VN-61,nl,Hải Dương
VN-63,nl,Hà Nam
VN-66,nl,Hưng Yên
VN-67,nl,Nam Định
VN-68,nl,Phú Thọ
VN-69,nl,Thái Nguyên
VN-70,nl,Vĩnh Phúc
VN-71,nl,Kan Tho stad
VN-72,nl,Đắk Nông
VN-73,nl,Hậu Giang
VN-CT,nl,Cần Thơ
VN-DN,nl,Đà Nẵng
VN-HN,nl,Quang Tri
VN-HP,nl,Hải Phòng
VN-SG,nl,Ho Chi Minhstad
